ZoteroScannableCite	bibliographicCitation_cl
{ | Tokuda, et al., 2009 | | |zu:4723341:MY369N25}	(Tokuda et al. 2009)
{ | Tomšovský, et al., 2010 | | |zu:4723341:JGSBNDQD}	(Tomšovský et al. 2010b)
{ | Tomšovský, et al., 2010 | | |zu:4723341:Y4IFYFBU}	(Tomšovský et al. 2010a)
{ | Trotter, 1925 | | |zu:4723341:DNHMAU2Q}	(Trotter 1925)
{ | Tsurykau, & Korchikov, 2017 | | |zu:4723341:P7FB9KQ3}	(Tsurykau & Korchikov 2017)
{ | Tsurykau, et al., 2017 | | |zu:4723341:GA5XYX2M}	(Tsurykau et al. 2017)
{ | Turland, et al., 2018 | | |zu:4723341:E9NNZ7AP}	(Turland et al. 2018)
{ | Urbanavichene, et al., 2013 | | |zu:4723341:TVICWEQK}	(Urbanavichene et al. 2013)
{ | Urbanavichus, 2016 | | |zu:4723341:DL86S9YL}	(Urbanavichus 2016)
{ | Urbanavichus, et al., 2007 | | |zu:4723341:SG9V4NN6}	(Urbanavichus et al. 2007a)
{ | Urbanavichus, et al., 2008 | | |zu:4723341:T9IRHDMV}	(Urbanavichus et al. 2008)
{ | Viner, 2015 | | |zu:4723341:F88L9586}	(Viner 2015)
{ | Viner, et al., 2016 | | |zu:4723341:NIJXTA4Q}	(Viner et al. 2016)
{ | Viner, et al., 2018 | | |zu:4723341:NP32FNAR}	(Viner et al. 2018)
{ | Viner, et al., 2021 | | |zu:4723341:7J4JAEZL}	(Viner et al. 2021)
{ | Vlasák, et al., 2015 | | |zu:4723341:WPCVZX34}	(Vlasák et al. 2015)
{ | Volobuev, & Arzhenenko, 2017 | | |zu:4723341:JSEMX8LX}	(Volobuev & Arzhenenko 2017)
{ | Volobuev, 2013 | | |zu:4723341:D43J5RVB}	(Volobuev 2013a)
{ | Volobuev, 2016 | | |zu:4723341:YE8GJM7B}	(Volobuev 2016)
{ | Volobuev, 2019 | | |zu:4723341:MYWCU8RT}	(Volobuev 2019)
{ | Volobuev, 2020 | | |zu:4723341:3GF38MLJ}	(Volobuev 2020)
{ | Volobuev, et al., 2015 | | |zu:4723341:3BIZX8UR}	(Volobuev et al. 2015b)
{ | Volobuev, et al., 2015 | | |zu:4723341:ZW65A68V}	(Volobuev et al. 2015a)
{ | Volobuev, et al., 2018 | | |zu:4723341:KDN97MKJ}	(Volobuev et al. 2018)
{ | Volobuev, et al., 2019 | | |zu:4723341:AY5BSVGA}	(Volobuev et al. 2019a)
{ | Volobuev, et al., 2020 | | |zu:4723341:ZSJBQ9MJ}	(Volobuev et al. 2020)
{ | Volobuev, et al., 2021 | | |zu:4723341:I2JPRBFW}	(Volobuev et al. 2021)
{ | Voronina, et al., 2018 | | |zu:4723341:ZESXUGA6}	(Voronina et al. 2018)
{ | Wakefield, 1969 | | |zu:4723341:7M6ENKEA}	(Wakefield 1969)
{ | Wasser, et al., 2006 | | |zu:4723341:IJV8ZICD}	(Wasser et al. 2006)
{ | Wells, & Raitviir, 1975 | | |zu:4723341:76RF93AK}	(Wells & Raitviir 1975)
