ZoteroScannableCite
{ | Боровичев, et al., 2021 | | |zu:4723341:Z3H4QP3B}
{ | Брежнев, 1950 | | |zu:4723341:5GJ2I2FU}
{ | Брежнев, 1950 | | |zu:4723341:SEG26U9V}
{ | Булгаков, et al., 2014 | | |zu:4723341:JYDUDTLI}
{ | Булохов, et al., 2016 | | |zu:4723341:S5ECNI4Q}
{ | Бурова, & Нездойминого, 1980 | | |zu:4723341:MLEP62AR}
{ | Бурова, & Нездойминого, 1982 | | |zu:4723341:P263G7NB}
{ | Бухгольц, 1897 | | |zu:4723341:29R229EB}
{ | Вакин, 1932 | | |zu:4723341:IGZ4HA8Z}
{ | Вакин, 1954 | | |zu:4723341:4FY9CEW3}
{ | Ванин, 1916 | | |zu:4723341:W9Z4LLGZ}
{ | Ванин, 1922 | | |zu:4723341:IYFETUMQ}
{ | Ванин, 1923 | | |zu:4723341:845ZUNR9}
{ | Ванин, 1923 | | |zu:4723341:GANP79I5}
{ | Ванин, 1928 | | |zu:4723341:G48P38BQ}
{ | Ванин, 1928 | | |zu:4723341:XJ6WPJMN}
{ | Ванин, 1929 | | |zu:4723341:XGIVA8HM}
{ | Варлыгина, et al., 2008 | | |zu:4723341:RQMLT3RY}
{ | Варлыгина, et al., 2018 | | |zu:4723341:VED8ZKJ7}
{ | Васильева, & Любарский, 1977 | | |zu:4723341:I8LFTVGE}
{ | Веселовская, 2007 | | |zu:4723341:QEEZHCFP}
{ | Вет, & Самосюк, 1943 | | |zu:4723341:DTCP8JUS}
{ | Веткин, et al., 2015 | | |zu:4723341:5TU8I6MP}
{ | Винер, et al., 2018 | | |zu:4723341:BKFHLFQJ}
{ | Вишневский, 1998 | | |zu:4723341:3XNYEBS9}
{ | Владимирова, & Иванова, 2010 | | |zu:4723341:QIJN2TAN}
{ | Владимирова, et al., 2018 | | |zu:4723341:HE7XAIBJ}
{ | Волобуев, & Большаков, 2016 | | |zu:4723341:BJLVJ9KJ}
{ | Волобуев, & Бондарцева, 2012 | | |zu:4723341:9VI74J7T}
{ | Волобуев, 2011 | | |zu:4723341:W33823KX}
{ | Волобуев, 2012 | | |zu:4723341:K97VNHHR}
{ | Волобуев, 2012 | | |zu:4723341:S6H2YFG5}
{ | Волобуев, 2013 | | |zu:4723341:3LBKKYYV}
{ | Волобуев, 2013 | | |zu:4723341:S4PHG9Y5}
{ | Волобуев, 2013 | | |zu:4723341:V5NCJ4F3}
{ | Волобуев, 2014 | | |zu:4723341:D94LX5LH}
{ | Волобуев, 2015 | | |zu:4723341:BETMZBVJ}
{ | Волобуев, 2015 | | |zu:4723341:F8W58HKT}
{ | Волобуев, et al., 2013 | | |zu:4723341:M2Z32HMJ}
{ | Волобуев, et al., 2013 | | |zu:4723341:U3GIC3KA}
{ | Волобуев, et al., 2019 | | |zu:4723341:MNS5JX5G}
{ | Волоснова, & Иванчев, 2005 | | |zu:4723341:9ZF9PXJ7}
{ | Волоснова, & Иванчев, 2008 | | |zu:4723341:HBN3M7NA}
{ | Волоснова, 1997 | | |zu:4723341:NL533TCH}
{ | Волоснова, 2007 | | |zu:4723341:5FPYF6WU}
{ | Волоснова, et al., 2014 | | |zu:4723341:8BGX2E8W}
{ | Воронина, et al., 2012 | | |zu:4723341:4FK5DIK3}
{ | Воронина, et al., 2014 | | |zu:4723341:CR8UHUQN}
{ | Воронцовский, 1921 | | |zu:4723341:USRRQ2VS}
{ | Гаврицкова, & Гордеева, 2007 | | |zu:4723341:NRKQFP7S}
{ | Гафурова, et al., 2020 | | |zu:4723341:ATW5MERJ}
{ | Гельтман, 2018 | | |zu:4723341:74GY4X75}
{ | Гельтман, 2018 | | |zu:4723341:8UF64T9V}
{ | Гельтман, et al., 2018 | | |zu:4723341:N8L2KVAS}
{ | Гиляровский, 1926 | | |zu:4723341:8TTYZKGD}
{ | Гиляровский, 1926 | | |zu:4723341:BW523PQ4}
{ | Гиляровский, 1926 | | |zu:4723341:FQ4UUUPT}
{ | Гимельбрант, et al., 2011 | | |zu:4723341:XBR6NNUN}
{ | Горленко, et al., 1989 | | |zu:4723341:LSFV29NX}
{ | Давыдкина, & Юпина, 1988 | | |zu:4723341:VMDASH3N}
{ | Давыдкина, et al., 1989 | | |zu:4723341:HX5D82RM}
{ | Дёгтева, 2019 | | |zu:4723341:W6WLL2PH}
{ | Дедков, & Гришанов, 2010 | | |zu:4723341:7N8I8BIP}
{ | Дедков, et al., 2007 | | |zu:4723341:96YXU8TQ}
{ | Дедков, et al., 2007 | | |zu:4723341:BCL7DGDK}
{ | Дудка, et al., 2018 | | |zu:4723341:AN5VUWBP}
{ | Дудка, et al., 2021 | | |zu:4723341:JHTT9ZRA}
{ | Дунаев, 1986 | | |zu:4723341:48VW8NGV}
{ | Дунаев, et al., 2015 | | |zu:4723341:GPG93Z87}
{ | Ежов, & Змитрович, 2013 | | |zu:4723341:T8IYHMNE}
{ | Ежов, & Руоколайнен, 2011 | | |zu:4723341:KQRHE3IM}
{ | Ежов, & Руоколайнен, 2016 | | |zu:4723341:Q8Y33TE6}
{ | Ежов, & Шатковская, 2017 | | |zu:4723341:G7TSZ9TV}
{ | Ежов, 2012 | | |zu:4723341:7KEEZ9NS}
{ | Ежов, 2014 | | |zu:4723341:V46EQPJR}
